question_name,question_body,q_calculator,question_type,question_image,question_mark,question_grade,question_code,lesson_code,quiz_code
Percentage 2,Decrease £65 by 20%?,FALSE,,,1,3,GFN2LC7TSQ1,GFN2LC7,GFN2TSQ
Percentage 2,A TV bought in for £1200 loses 15% of its value each year. What is the value of the TV after two years?  ,TRUE,,,1,3,GFN2LC7TSQ2,GFN2LC7,GFN2TSQ
Percentage 2,Alisha paid £43.90 for a skirt that had been reduced by 15% in a sale. What was the original price,TRUE,,,1,3,GFN2LC7TSQ3,GFN2LC7,GFN2TSQ
Standard Form ,Convert this number in standard form?  0.00000072,FALSE,,,1,3,GFN2LC8TDQ1,GFN2LC8,GFN2TDQ
Standard Form ,Calculate the following:  (8 x 10 ⁴) - (7 x 10 ³),FALSE,,,1,4,GFN2LC8TDQ2,GFN2LC8,GFN2TDQ
Standard Form ,Calculate the following: (8.8 x 10 ¹⁰) ÷ (4 x 10 ⁷),FALSE,,,1,5,GFN2LC8TDQ3,GFN2LC8,GFN2TDQ
Standard Form ,Convert this number in standard form?  6 003 000 000 ,FALSE,,,1,3,GFN2LC8TSQ1,GFN2LC8,GFN2TSQ
Standard Form ,Calculate the following: (2.1 x 10 ⁴) + (3 x 10 ⁵),FALSE,,,1,4,GFN2LC8TSQ2,GFN2LC8,GFN2TSQ
Standard Form ,Calculate the following: (5 x 10 ⁻²) x  (2.6 x 10 ¹²)        ,FALSE,,,1,5,GFN2LC8TSQ3,GFN2LC8,GFN2TSQ
Limits of Accuracy and Reciprocals ,Find the reciprocal of the following; 2,FALSE,fraction,,1,3,GFN2LC9TDQ1,GFN2LC9,GFN2TDQ
Limits of Accuracy and Reciprocals ,Find the reciprocal of the following; 4/5,FALSE,fraction,,1,3,GFN2LC9TDQ2,GFN2LC9,GFN2TDQ
Limits of Accuracy and Reciprocals ,"A bag of apples weighs 7kg, correct to the nearest kilogram. What is the least possible weight of the bag of apples?",FALSE,,,1,3,GFN2LC9TDQ3,GFN2LC9,GFN2TDQ
Limits of Accuracy and Reciprocals ,Find the reciprocal of the following; 5,FALSE,fraction,,1,3,GFN2LC9TSQ1,GFN2LC9,GFN2TSQ
Limits of Accuracy and Reciprocals ,Find the reciprocal of the following; 2/9,FALSE,fraction,,1,3,GFN2LC9TSQ2,GFN2LC9,GFN2TSQ
Limits of Accuracy and Reciprocals ,"A silver necklace has a mass of 123 grams, correct to the nearest gram. Write down the least possible mass of the necklace.",FALSE,,,1,3,GFN2LC9TSQ3,GFN2LC9,GFN2TSQ
