question_name,question_body,question_type,question_image,question_mark,question_grade,question_code,lesson_code,quiz_code
Reflections,Reflect the shape in the line x = -1,,/quiz/questions/images_g2/GFG2LC7TDQ1.png,1,2,GFG2LC7TDQ1,GFG2LC7,GFG2TDQ
Reflections,Describe the transformation that maps A to B,,/quiz/questions/images_g2/GFG2LC7TDQ2.png,1,2,GFG2LC7TDQ2,GFG2LC7,GFG2TDQ
Reflections,Reflect the shape in the line y = 2,,/quiz/questions/images_g2/GFG2LC7TSQ1.png,1,2,GFG2LC7TSQ1,GFG2LC7,GFG2TSQ
Reflections,Describe the transformation that maps A to B,,/quiz/questions/images_g2/GFG2LC7TSQ2.png,1,2,GFG2LC7TSQ2,GFG2LC7,GFG2TSQ
Rotations ,"Rotate this shape anticlockwise 180° about the point (-3,2)",,/quiz/questions/images_g2/GFG2LC8TDQ1.png,1,2,GFG2LC8TDQ1,GFG2LC8,GFG2TDQ
Rotations ,Describe the transformation which takes shape A to B.,,/quiz/questions/images_g2/GFG2LC8TDQ2.png,1,2,GFG2LC8TDQ2,GFG2LC8,GFG2TDQ
Rotations ,"Rotate the shape clockwise 90° about the point (1,2)",,/quiz/questions/images_g2/GFG2LC8TSQ1.png,1,2,GFG2LC8TSQ1,GFG2LC8,GFG2TSQ
Rotations ,Describe the transformation which takes shape A to B.,,/quiz/questions/images_g2/GFG2LC8TSQ2.png,1,2,GFG2LC8TSQ2,GFG2LC8,GFG2TSQ
Enlargements,Enlarge this shape by scale factor 2 from the centre of enlargement.,,/quiz/questions/images_g2/GFG2LC9TDQ1.png,1,2,GFG2LC9TDQ1,GFG2LC9,GFG2TDQ
Enlargements,Describe the transformation fully that takes shape A to shape B.,,/quiz/questions/images_g2/GFG2LC9TDQ2.png,1,2,GFG2LC9TDQ2,GFG2LC9,GFG2TDQ
Enlargements,Enlarge this shape by scale factor 4 from the centre of enlargement,,/quiz/questions/images_g2/GFG2LC9TSQ1.png,1,2,GFG2LC9TSQ1,GFG2LC9,GFG2TSQ
Enlargements,Describe the transformation fully that takes shape A to shape B,,/quiz/questions/images_g2/GFG2LC9TSQ2.png,1,2,GFG2LC9TSQ2,GFG2LC9,GFG2TSQ
Similarity and Congruence,How many line of symmetry the following shape have,,/quiz/questions/images_g2/GFG2LC10TDQ1.png,1,2,GFG2LC10TDQ1,GFG2LC10,GFG2TDQ
Similarity and Congruence,These triangles are congruent. Find  angle H,,/quiz/questions/images_g2/GFG2LC10TDQ2.png,1,2,GFG2LC10TDQ2,GFG2LC10,GFG2TDQ
Similarity and Congruence,Decide if the following shapes will tessellate,option,/quiz/questions/images_g2/GFG2LC10TSQ1.png,1,2,GFG2LC10TSQ1,GFG2LC10,GFG2TSQ
Similarity and Congruence,Are the following triangles congruent ,option,/quiz/questions/images_g2/GFG2LC10TSQ2.png,1,2,GFG2LC10TSQ2,GFG2LC10,GFG2TSQ
